A,B,EV
(-2.3652187902306428e-17-5.578365945629897e-17j),(-5.166787403435359e-16+4.840302138676044e-16j),(-1.2550956875137154+0.2660416750324324j)
(8.392296774992176e-19+1.048370438388966e-18j),(1.5321922250793722e-15+1.1033172969368397e-16j),(-1.2550956875137138-0.2660416750324326j)
(-0.00037102992407014694-3.660396441597503e-16j),(-1.538450487133387-6.963868028486095e-13j),(-1.2345162805963663+1.7439595362632447e-14j)
(1.1234236251308053e-16+6.493795301725744e-17j),(2.5014146336987445e-15-6.8976856461442974e-15j),(-1.2323590758944925-0.08319856511036565j)
(-1.640062647790498e-17-4.844822042550795e-17j),(-2.6845537063169164e-15+1.1713562372402942e-14j),(-1.2323590758944676+0.08319856511036824j)
(-1.9363512529268537e-18-1.301278416542057e-16j),(-5.976315351239112e-16+5.551232721723948e-16j),(-1.2264372521562-1.440000000000004j)
(-1.925791924958671e-17-2.4007083768960203e-17j),(7.607127362066996e-18+1.2648907555357203e-16j),(-1.2264372521561921+1.4399999999999988j)
(3.7752630940393373e-17-8.248001726867317e-17j),(-2.579539930497047e-15-1.6586246770087888e-15j),(-1.2209184906609256-0.20337411514369008j)
(-6.707962784667836e-17-1.163617186377963e-16j),(-2.766039529563174e-15-1.4307033443320034e-15j),(-1.2209184906609245+0.20337411514369153j)
(-0.0007485232906846214+4.111351656469728e-16j),(0.6758421418630597+4.636438561193672e-13j),(-1.2164841698431286-9.830886886784114e-15j)
(0.0020953585780607367+0.0019460864080670028j),(-0.08623812169503067+0.011576489440240142j),(-1.2108392049722272-0.8449154217500392j)
(0.0020953585780602376-0.0019460864080670015j),(-0.08623812169503114-0.011576489440239882j),(-1.210839204972223+0.8449154217500329j)
(-6.539224863926367e-17-6.667542689805868e-17j),(3.989224467943032e-16-4.138380712110267e-16j),(-1.1926557811636467-0.5309477968006404j)
(-3.7165324189432384e-17-6.129114795967298e-17j),(-6.005431608749457e-16-3.974234770277461e-15j),(-1.1926557811636318+0.530947796800641j)
(0.0011931640637244875-1.5193003077847773e-16j),(-0.3024994227866898-3.4440471365716383e-15j),(-1.1851117194360439-3.713303968410257e-15j)
(-7.754704352635478e-17-2.8185923004869195e-17j),(1.6855082629383574e-15-4.146441452775571e-16j),(-1.1850366875519018-0.47890253229586494j)
(6.134194389350217e-18-1.2171332985795111e-18j),(6.558049617396507e-16+1.3163455703016472e-15j),(-1.1850366875518985+0.4789025322958603j)
(-6.38380388298927e-17+1.1172752798956747e-16j),(-5.737722689209157e-16+9.131576192241108e-18j),(-1.177901297065498+0.965510684163869j)
(8.335128669309972e-18+4.093338001848663e-17j),(-1.0247687103873325e-16-4.557722434535396e-16j),(-1.1779012970654887-0.9655106841638663j)
